          (   5,    4) (   4,    5) (   5,    7) (   5,    3) (   5,    6) (   4,    1) (   5,    4) (   5,    5) (   5,    7) (   5,    3)
          (   4,    6) (   5,    3) (   5,    4) (   5,    4) (   5,    5) (   4,    5) (   4,    4) (   4,    6) (   5,    2) (   4,    6)
          (   4,    6) (   5,    6) (   5,    4) (   5,    6) (   4,    3) (   5,    5) (   5,    5) (   5,    7) (   4,    5) (   5,    6)
          (   5,    3) (   5,    5) (   4,    3) (   5,    4) (   5,    6) (   5,    4) (   5,    5) (   5,    3) (   5,    5) (   4,    4)
          (   5,    5) (   5,    5) (   4,    6) (   5,    6) (   5,    3) (   4,    5) (   4,    4) (   4,    4) (   3,    4) (   5,    4)
          (   5,    5) (   5,    6) (   4,    3) (   4,    5) (   5,    7) (   4,    2) (   5,    3) (   4,    3) (   4,    2) (   4,    4)
          (   4,    3) (   5,    5) (   5,    4) (   4,    5) (   4,    2) (   3,    3) (   4,    3) (   3,    5) (   4,    3) (   4,    5)
          (   5,    2) (   5,    3) (   4,    3) (   3,    4) (   4,    3) (   4,    3) (   4,    3) (   5,    5) (   5,    7) (   5,    5)
          (   4,    1) (   4,    3) (   3,    5) (   5,    6) (   5,    4) (   5,    5) (   3,    7) (   4,    4) (   5,    7) (   5,    6)
          (   4,    2) (   5,    5) (   4,    5) (   4,    3) (   5,    5) (   4,    4) (   3,    4) (   5,    5) (   4,    3) (   4,    4)
          (   5,    5) (   5,    7) (   4,    3) (   4,    4) (   5,    3) (   5,    4) (   5,    6) (   5,    6) (   5,    4) (   5,    6)
          (   5,    3) (   5,    5) (   5,    5) (   5,    8) (   5,    3) (   5,    6) (   5,    6) (   5,    2) (   5,    4) (   5,    3)
          (   5,    7) (   5,    5) (   5,    7) (   5,    3) (   5,    7) (   5,    5) (   5,    7) (   5,    5) (   5,    4) (   5,    5)
          (   5,    7) (   5,    4) (   5,    4) (   5,    5) (   5,    5) (   5,    6) (   5,    7) (   5,    4) (   5,    5) (   5,    4)
          (   5,    4) (   5,    6) (   5,    6) (   5,    4) (   5,    5) (   5,    3) (   5,    6) (   5,    8) (   5,    7) (   5,    5)
          (   5,    6) (   5,    6) (   5,    3) (   5,    6) (   5,    4) (   5,    5) (   5,    6) (   5,    7) (   5,    8) (   5,    6)
          (   5,    6) (   5,    5) (   5,    2) (   5,    6) (   5,    5) (   5,    4) (   5,    8) (   5,    5) (   5,    7) (   5,    5)
          (   5,    2) (   5,    4) (   5,    3) (   5,    6) (   5,    5) (   5,    4) (   5,    5) (   5,    7) (   5,    5) (   5,    5)
          (   5,    8) (   5,    5) (   5,    3) (   5,    4) (   5,    6) (   5,    5) (   5,    4) (   5,    4) (   5,    4) (   5,    6)
          (   5,    5) (   5,    4) (   5,    4) (   5,    8) (   5,    3) (   5,    6) (   5,    6) (   5,    1) (   5,    5) (   5,    6)
          (   5,    6) (   5,    4) (   5,    7) (   5,    6) (   5,    0) (   5,    5) (   5,    5) (   5,    6) (   5,    5) (   5,    3)
          (   5,    5) (   5,    6) (   5,    5) (   5,    6) (   5,    4) (   5,    1) (   5,    5) (   5,    5) (   5,    4) (   5,    2)
          (   5,    5) (   5,    5) (   5,    6) (   5,    6) (   5,    7) (   5,    6) (   5,    4) (   5,    7) (   5,    5) (   5,    6)
          (   5,    5) (   5,    6) (   5,    6) (   5,    3) (   5,    7) (   5,    3) (   5,    5) (   5,    5) (   5,    6) (   5,    5)
          (   5,    6) (   5,    5) (   5,    5) (   5,    5) (   5,    4) (   5,    6) (   5,    4) (   5,    6) (   5,    5) (   5,    6)
          (   5,    4) (   5,    4) (   5,    3) (   5,    7) (   5,    6) (   5,    4) (   5,    7) (   5,    7) (   5,    6) (   5,    5)
          (   5,    5) (   5,    8) (   5,    4) (   5,    4) (   5,    3) (   5,    6) (   5,    4) (   5,    5) (   5,    6) (   5,    6)
          (   5,    6) (   5,    3) (   5,    7) (   5,    7) (   5,    5) (   5,    3) (   5,    6) (   5,    7) (   5,    5) (   5,    3)
          (   5,    6) (   5,    6) (   5,    6) (   5,    4) (   5,    5) (   5,    3) (   5,    4) (   5,    6) (   5,    4) (   5,    6)
          (   5,    6) (   5,    3) (   5,    6) (   5,    6) (   5,    3) (   5,    6) (   5,    8) (   5,    6) (   5,    5) (   5,    4)
          (   5,    4) (   5,    7) (   5,    4) (   5,    6) (   5,    1) (   5,    4) (   5,    4) (   5,    2) (   5,    5) (   5,    8)
          (   5,    5) (   5,    6) (   5,    7) (   5,    7) (   5,    5) (   5,    3) (   5,    6) (   5,    1) (   5,    5) (   5,    4)
          (   5,    3) (   5,    7) (   5,    5) (   5,    3) (   5,    4) (   5,    7) (   5,    5) (   5,    7) (   5,    3) (   5,    4)
          (   5,    6) (   5,    3) (   5,    4) (   5,    4) (   5,    4) (   5,    6) (   5,    3) (   5,    4) (   5,    4) (   5,    6)
          (   5,    4) (   5,    4) (   5,    3) (   5,    4) (   5,    7) (   5,    4) (   5,    3) (   5,    3) (   5,    5) (   5,    7)
          (   5,    5) (   5,    4) (   5,    6) (   5,    4) (   5,    5) (   5,    4) (   5,    7) (   5,    5) (   5,    8) (   5,    3)
          (   5,    7) (   5,    5) (   5,    3) (   5,    6) (   5,    4) (   5,    4) (   5,    2) (   5,    6) (   5,    7) (   5,    5)
          (   5,    5) (   5,    5) (   5,    6) (   5,    6) (   5,    6) (   5,    6) (   5,    6) (   5,    3) (   5,    4) (   5,    7)
          (   5,    5) (   5,    7) (   5,    4) (   5,    5) (   5,    5) (   5,    5) (   5,    5) (   5,    5) (   5,    4) (   5,    4)
          (   5,    4) (   5,    8) (   5,    7) (   5,    6) (   5,    8) (   5,    3) (   5,    5) (   5,    5) (   5,    4) (   5,    7)
          (   5,    6) (   5,    2) (   5,    6) (   5,    3) (   5,    4) (   5,    4) (   5,    4) (   5,    5) (   5,    4) (   5,    8)
          (   5,    4) (   5,    5) (   5,    7) (   5,    5) (   5,    6) (   5,    5) (   5,    6) (   5,    5) (   5,    4) (   5,    6)
          (   5,    6) (   5,    4) (   5,    5) (   5,    4) (   5,    7) (   5,    6) (   5,    4) (   5,    4) (   5,    5) (   5,    2)
          (   5,    6) (   5,    5) (   5,    5) (   5,    4) (   5,    5) (   5,    7) (   5,    5) (   5,    2) (   5,    5) (   5,    3)
          (   5,    2) (   5,    6) (   5,    7) (   5,    5) (   5,    4) (   5,    5) (   5,    4) (   5,    4) (   5,    3) (   5,    5)
          (   5,    3) (   5,    5) (   5,    6) (   5,    6) (   5,    8) (   5,    6) (   5,    5) (   5,    6) (   5,    5) (   5,    7)
          (   5,    3) (   5,    3) (   5,    5) (   5,    4) (   5,    7) (   5,    3) (   5,    5) (   5,    4) (   5,    6) (   5,    5)
          (   5,    3) (   5,    5) (   5,    4) (   5,    6) (   5,    5) (   5,    5) (   5,    7) (   5,    7) (   5,    4) (   5,    5)
          (   5,    6) (   5,    5) (   5,    5) (   5,    6) (   5,    4) (   5,    5) (   5,    2) (   5,    5) (   5,    5) (   5,    5)
          (   5,    7) (   5,    5) (   5,    6) (   5,    5) (   5,    6) (   5,    6) (   5,    4) (   5,    6) (   5,    8) (   5,    2)
          (   5,    5) (   5,    4) (   5,    5) (   5,    9) (   5,    6) (   5,    6) (   5,    6) (   5,    6) (   5,    5) (   5,    5)
         
node   9 sent_total   3357  recv_total   3303

node  10  (   0,    0) (   0,    0) (   1,    0) (   0,    0) (   5,    2) (   5,    3) (   5,    6) (   5,    4) (   5,    6) (   5,    2)
          (   5,    5) (   5,    5) (   5,    3) (   5,    4) (   5,    7) (   5,    1) (   5,    5) (   5,    4) (   5,    3) (   5,    5)
          (   5,    3) (   5,    5) (   5,    6) (   5,    6) (   5,    5) (   5,    6) (   5,    3) (   5,    2) (   5,    6) (   5,    7)
          (   5,    6) (   5,    5) (   5,    4) (   5,    5) (   5,    5) (   5,    6) (   5,    5) (   5,    8) (   5,    3) (   5,    6)
          (   5,    6) (   5,    5) (   5,    6) (   5,    0) (   5,    6) (   5,    7) (   5,    6) (   5,    3) (   5,    3) (   5,    8)
          (   5,    2) (   3,    4) (   5,    3) (   4,    5) (   5,    3) (   5,    4) (   5,    5) (   4,    6) (   5,    3) (   5,    3)
          (   4,    6) (   5,    6) (   4,    6) (   4,    3) (   5,    4) (   5,    5) (   5,    6) (   5,    4) (   4,    6) (   5,    4)
          (   4,    1) (   5,    3) (   5,    2) (   5,    4) (   4,    5) (   5,    4) (   5,    4) (   5,    3) (   5,    4) (   5,    4)
          (   5,    5) (   5,    1) (   5,    3) (   5,    4) (   4,    8) (   5,    4) (   4,    6) (   4,    3) (   5,    6) (   5,    6)
          (   5,    8) (   5,    5) (   4,    7) (   5,    4) (   4,    4) (   4,    6) (   5,    3) (   5,    4) (   5,    3) (   5,    7)
          (   5,    1) (   5,    4) (   5,    7) (   5,    6) (   3,    6) (   4,    5) (   4,    3) (   5,    6) (   5,    3) (   4,    4)
          (   5,    3) (   5,    6) (   3,    2) (   3,    5) (   4,    6) (   4,    5) (   5,    4) (   5,    4) (   5,    4) (   4,    2)
          (   4,    3) (   4,    3) (   4,    4) (   5,    6) (   4,    4) (   5,    2) (   4,    4) (   5,    6) (   3,    3) (   4,    5)
          (   4,    5) (   4,    4) (   5,    4) (   5,    4) (   4,    5) (   5,    3) (   5,    5) (   4,    5) (   5,    5) (   5,    5)
          (   5,    6) (   5,    7) (   5,    4) (   5,    4) (   5,    1) (   5,    2) (   5,    8) (   5,    7) (   5,    6) (   4,    4)
          (   4,    7) (   4,    4) (   4,    6) (   4,    4) (   5,    4) (   4,    4) (   4,    5) (   5,    5) (   5,    5) (   4,    4)
          (   5,    6) (   4,    7) (   5,    4) (   4,    3) (   4,    4) (   5,    5) (   4,    3) (   5,    5) (   4,    5) (   5,    4)
          (   5,    5) (   2,    6) (   5,    3) (   5,    4) (   5,    5) (   5,    4) (   3,    4) (   5,    3) (   5,    5) (   4,    5)
          (   3,    5) (   4,    5) (   5,    4) (   3,    4) (   4,    5) (   4,    3) (   5,    4) (   5,    4) (   5,    5) (   3,    5)
          (   5,    6) (   4,    7) (   5,    7) (   4,    3) (   4,    2) (   4,    4) (   5,    6) (   5,    5) (   4,    4) (   4,    4)
          (   5,    6) (   4,    3) (   4,    4) (   5,    4) (   5,    4) (   3,    5) (   4,    4) (   4,    5) (   5,    3) (   5,    5)
          (   5,    5) (   5,    5) (   5,    2) (   4,    3) (   5,    2) (   4,    4) (   4,    5) (   4,    6) (   4,    4) (   5,    5)
          (   5,    5) (   4,    6) (   4,    5) (   5,    7) (   5,    6) (   4,    5) (   3,    5) (   5,    5) (   5,    5) (   3,    5)
          (   5,    4) (   5,    4) (   5,    4) (   4,    6) (   5,    5) (   3,    6) (   5,    5) (   4,    6) (   5,    3) (   4,    3)
          (   5,    3) (   5,    5) (   5,    2) (   4,    5) (   4,    7) (   5,    6) (   5,    4) (   2,    5) (   4,    4) (   3,    6)
          (   5,    3) (   4,    7) (   5,    5) (   5,    3) (   5,    2) (   4,    4) (   5,    6) (   3,    7) (   4,    4) (   4,    4)
          (   5,    4) (   3,    3) (   5,    4) (   5,    4) (   4,    4) (   4,    4) (   5,    5) (   4,    2) (   4,    6) (   5,    6)
          (   4,    2) (   4,    3) (   5,    6) (   4,    1) (   5,    2) (   3,    4) (   4,    4) (   5,    5) (   4,    7) (   4,    5)
          (   5,    4) (   4,    5) (   5,    3) (   4,    3) (   5,    5) (   5,    5) (   4,    5) (   5,    5) (   5,    3) (   5,    6)
          (   4,    7) (   5,    6) (   4,    3) (   4,    3) (   4,    4) (   5,    1) (   5,    4) (   5,    4) (   4,    4) (   4,    6)
          (   4,    5) (   5,    2) (   5,    5) (   5,    8) (   5,    2) (   5,    5) (   5,    3) (   5,    6) (   5,    5) (   5,    3)
          (   5,    6) (   5,    4) (   5,    6) (   5,    6) (   5,    6) (   5,    5) (   5,    4) (   5,    6) (   5,    3) (   5,    7)
          (   5,    7) (   5,    3) (   5,    5) (   5,    4) (   5,    6) (   5,    6) (   5,    5) (   5,    6) (   5,    3) (   5,    7)
          (   5,    4) (   5,    7) (   5,    4) (   5,    4) (   5,    3) (   5,    4) (   5,    5) (   5,    6) (   5,    8) (   5,    4)
          (   5,    8) (   5,    5) (   5,    2) (   5,    5) (   5,    4) (   5,    3) (   5,    6) (   5,    6) (   5,    5) (   5,    7)
          (   5,    7) (   5,    6) (   5,    0) (   5,    6) (   5,    7) (   5,    3) (   5,    7) (   5,    5) (   5,    6) (   5,    8)
          (   5,    3) (   5,    3) (   5,    2) (   5,    5) (   5,    5) (   5,    7) (   5,    7) (   5,    4) (   5,    5) (   5,    7)
          (   5,    4) (   5,    5) (   5,    3) (   5,    3) (   5,    6) (   5,    4) (   5,    4) (   5,    4) (   5,    4) (   5,    6)
          (   5,    6) (   5,    6) (   5,    5) (   5,    6) (   5,    5) (   5,    6) (   5,    6) (   5,    6) (   5,    5) (   5,    7)
          (   5,    4) (   5,    5) (   5,    6) (   5,    5) (   5,    0) (   5,    5) (   5,    3) (   5,    6) (   5,    5) (   5,    2)
          (   5,    6) (   5,    7) (   5,    2) (   5,    4) (   5,    5) (   5,    1) (   5,    3) (   5,    5) (   5,    5) (   5,    3)
          (   5,    4) (   5,    6) (   5,    5) (   5,    8) (   5,    6) (   5,    5) (   5,    4) (   5,    7) (   5,    3) (   5,    6)
          (   5,    5) (   5,    7) (   5,    5) (   5,    1) (   5,    6) (   5,    3) (   5,    6) (   5,    6) (   5,    5) (   5,    7)
          (   5,    7) (   5,    5) (   5,    4) (   5,    6) (   5,    4) (   5,    6) (   5,    4) (   5,    4) (   5,    4) (   5,    6)
          (   5,    2) (   5,    4) (   5,    3) (   5,    5) (   5,    5) (   5,    5) (   5,    7) (   5,    6) (   5,    5) (   5,    6)
          (   5,    5) (   5,    8) (   5,    4) (   5,    7) (   5,    5) (   5,    7) (   5,    3) (   5,    8) (   5,    4) (   5,    5)
          (   5,    7) (   5,    3) (   5,    7) (   5,    6) (   5,    6) (   5,    2) (   5,    6) (   5,    7) (   5,    5) (   5,    4)
          (   5,    5) (   5,    5) (   5,    5) (   5,    4) (   5,    7) (   5,    1) (   5,    4) (   5,    6) (   5,    2) (   5,    5)
          (   5,    5) (   5,    5) (   5,    5) (   5,    4) (   5,    5) (   5,    4) (   5,    6) (   5,    6) (   5,    5) (   5,    6)
          (   5,    4) (   5,    9) (   5,    5) (   5,    7) (   5,    3) (   5,    3) (   5,    5) (   5,    4) (   5,    6) (   5,    5)
          (   5,    7) (   5,    3) (   5,    7) (   5,    4) (   5,    4) (   5,    3) (   5,    5) (   5,    4) (   5,    6) (   5,    6)
          (   5,    3) (   5,    6) (   5,    4) (   5,    4) (   5,    4) (   5,    7) (   5,    4) (   5,    6) (   5,    5) (   5,    4)
          (   5,    5) (   5,    3) (   5,    5) (   5,    1) (   5,    3) (   5,    3) (   5,    3) (   5,    5) (   5,    4) (   5,    8)
          (   5,    3) (   5,    5) (   5,    5) (   5,    4) (   5,    6) (   5,    3) (   5,    4) (   5,    2) (   5,    5) (   5,    6)
          (   5,    6) (   5,    5) (   5,    5) (   5,    4) (   5,    4) (   5,    6) (   5,    7) (   5,    3) (   5,    8) (   5,    3)
          (   5,    7) (   5,    6) (   5,    4) (   5,    5) (   5,    4) (   5,    3) (   5,    4) (   5,    7) (   5,    5) (   5,    2)
          (   5,    5) (   5,    6) (   5,    7) (   5,    6) (   5,    7) (   5,    6) (   5,    7) (   5,    3) (   5,    4) (   5,    8)
          (   5,    5) (   5,    7) (   5,    5) (   5,    6) (   5,    5) (   5,    6) (   5,    4) (   5,    3) (   5,    5) (   5,    5)
          (   5,    5) (   5,    5) (   5,    4) (   5,    4) (   5,    6) (   5,    3) (   5,    5) (   5,    4) (   5,    7) (   5,    7)
          (   5,    6) (   5,    4) (   5,    5) (   5,    3) (   5,    4) (   5,    5) (   5,    1) (   5,    6) (   5,    3) (   5,    7)
          (   5,    5) (   5,    6) (   5,    7) (   5,    5) (   5,    6) (   5,    5) (   5,    7) (   5,    6) (   5,    5) (   5,    5)
          (   5,    6) (   5,    5) (   5,    4) (   5,    2) (   5,    6) (   5,    6) (   5,    4) (   5,    5) (   5,    4) (   5,    2)
          (   5,    6) (   5,    5) (   5,    5) (   5,    7) (   5,    4) (   5,    5) (   5,    4) (   5,    2) (   5,    4) (   5,    3)
          (   5,    4) (   5,    7) (   5,    5) (   5,    8) (   5,    4) (   5,    3) (   5,    4) (   5,    3) (   5,    4) (   5,    4)
          (   5,    6) (   5,    5) (   5,    5) (   5,    5) (   5,    8) (   5,    6) (   5,    3) (   5,    7) (   5,    5) (   5,    6)
          (   5,    3) (   5,    5) (   5,    4) (   5,    4) (   5,    5) (   5,    5) (   5,    4) (   5,    3) (   5,    5) (   5,    6)
          (   5,    4) (   5,    3) (   5,    5) (   5,    3) (   5,    6) (   5,    7) (   5,    6) (   5,    6) (   5,    4) (   5,    7)
          (   5,    6) (   5,    5) (   5,    3) (   5,    6) (   5,    6) (   5,    8) (   5,    2) (   5,    4) (   5,    6) (   5,    4)
          (   5,    7) (   5,    5) (   5,    4) (   5,    6) (   5,    6) (   5,    7) (   5,    5) (   5,    4) (   5,    8) (   5,    3)
          (   5,    4) (   5,    3) (   5,    5) (   5,    8) (   5,    7) (   5,    7) (   5,    8) (   5,    4) (   5,    5) (   5,    6)
         
node  10 sent_total   3346  recv_total   3308

